会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
ライブマスターズ（株）,,info@livemasters.jp,https://livemasters.jp/live_information/calendar/,,,コンサート・イベントの制作および運営 コンサート・イベントのチケットの販売 歌手、タレント及び物語、漫画などの登場人,,15年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
一般社団法人落語協会,03-3833-8563,,https://www.rakugo-kyokai.jp/contact,,,,,,,,,演芸興行,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
公益社団法人落語芸術協会,,,https://www.geikyo.com/inquiry/index,,,,,,,,,演芸興行,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
公益財団法人日本相撲協会,03-3622-0366,,https://www.sumo.or.jp/IrohaKyokaiInformation/wrap/,,,,,,,,,相撲興行,,大,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
吉本興業（株）,,,,,,,,,,,,演芸興行,,大,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
大日本プロレス（株）,045-507-1751,bjw_shop@yahoo.co.jp,https://bjw.co.jp/contact/,,,,,,,,,プロレス興行,,小,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
新日本プロレスリング（株）,,,,,,,,,,,,プロレス興行,,大,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
東宝（株）,,,https://www.toho.co.jp/important_information/20260224105145,,,,,,,,,演劇制作,,大,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
松竹芸能（株）,06-6258-8085,sg_fanmail@shochiku.co.jp,https://www.shochikugeino.co.jp/contact/,,,タレント・俳優の養成 演劇制作 テレビドラマ制作 イベント制作 映画、音楽、ラジオ、テレビ、レコードその他これに関連,,70年,,,,演芸興行,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
松竹（株）,03-5550-1611,,https://www.shochiku.co.jp/contact/,,,/会社案内PDF 松竹の歴史 サステナビリティ CI（コーポレートアイデンティティ）,,,,,,演劇制作,,大,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
（有）エフ・オー・ビー企画,,,,,,コンサート・イベントの企画、制作及び興行,,50年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（有）ヴィンテージロック,,info@vintage-rock.com,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）GAKUONユニティ・フェイス,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）LIVEFORWARD,,,,,,●ライブコンテンツの制作、運営、自社イベント開発 ●外部コンテンツ会社様との共同事業 ●IMM THEATERの運営,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）LuckyFM茨城放送,,,https://lucky-ibaraki.com/contact/,,,民間放送 創立 昭和37年9月12日（昭和38年4月1日開局） コールサイン JOYF（水戸局） JOYL（土浦局）,,64年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）STARBASE,,,https://starbase.jp/contact/,,,ブランドコミュニケーション事業 ライブ・イベント制作事業 アーティストエージェント事業 デジタル配信事業 音楽制作・,,9年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）iTONYENTERTAINMENT,,info@itony.co.jp,https://itony.co.jp/information/,,,音楽コンサート/企業イベント等 企画・制作・運営・アーティストマネージメント,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）アイエス,03-3355-3553,,https://www.aiesu.co.jp/information_2020.html,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）アリノワ．,028-645-1660,,https://arinowa.com#CONTACT,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）アーツイノベーター・ジャパン,,,https://artsinnovator.com/contact/,,,楽器レンタル オーケストラ/アーティスト,,7年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ウエス,011-614-9999,,https://wess.jp/contact/,,,コンサート・イベントの企画、制作及び興行,,45年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ウドー音楽事務所,,,,,,海外アーティストの招聘・コンサート・イベントの企画・制作・宣伝・運営・舞台制作／ツアーマネージメント・アーティスト付,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）エドワードライヴエンターテインメント,,,https://www.edward.co.jp/live/contact/,,,国内外アーティストのコンサート・イベント、各種エンターテインメントの企画・ 制作・運営 行政・団体・企業イベント、学,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）エニー,03-1234-5678,tarou@test.co.jp,https://www.any-group.jp/contact/form1.html,,,コンサート・イベントの企画、制作及び興行,,39年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）オデッセー,03-4426-6303,,https://ody-inc.com/news/20210108.html,,,コンサート、イベントの企画、制作、運営 / 興行・イベントのチケットの販売及び宣伝 関連企業 株式会社アップフロント,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）キャピタルヴィレッジ,0570-08-9999,,https://form.capital-village.co.jp/otoiawase/,,,コンサート・イベントの企画、制作及び興行,,45年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）キャンディープロモーション,082-249-8334,,,,,コンサート・イベントの企画、制作及び興行,,44年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）キョードーファクトリー,0570-025-500,,https://kyodo-factory.com/performance-results/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）キョードープロデューサーズ,0570-200-551,,,,,ライブエンターテイメント事業 （ コンサート・ミュージカル・演劇・ダンス・寄席・演芸・スポーツ・イベント・展覧会など,,16年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）キョードー北陸,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）キョードー札幌,011-221-0144,,https://www.kyodosapporo.com/contact,,,コンサート・イベントの企画、制作及び興行,,50年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）キョードー東北,050-3185-6761,,https://www.kyodo-tohoku.com/artist/59/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）キョードー東海,,,https://www.kyodotokai.co.jp/informations/recruit,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）キョードー横浜,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）キョードー西日本,0570-09-2424,,https://www.kyodo-west.co.jp/otoiawase.php,,,1. 演芸及びスポーツの企画制作並びに興行 2. 日本国芸能人の海外市場への提供並びに外国芸能人の招聘 3. 興行の,,47年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ギルドネクスト,022-222-2033,,,,,コンサートの企画制作・主催及びチケット・CD・DVD等の販売 ●,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）クリエイティブマンプロダクション,03-3499-6669,creativeman@creativeman.co.jp,https://www.creativeman.co.jp/mag/form1.php,,,海外アーティストの招聘、及び興行 国内外アーティストのライヴコンサート等の企画・制作・運営 各種イベント、フェスティ,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）グリーンズコーポレーション,0570-200-882,info@oica-project.jp,https://www.greens-corp.co.jp/info/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）グリーンルーム,03-6455-2330,,https://greenroom.co/contact_form/,,,EVENT・FESTIVAL ART GALLERY グループ会社 GREENROOM GALLERY INC. G,,27年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）サウンドクリエーター,,,https://www.sound-c.co.jp/news/detail/1688/,,,1.コンサートの企画・制作・運営 2.ツアー制作業務 3.SP・営業イベントの制作・運営 4.自治体、各種団体等の催,,49年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）サウンド・ソニック,076-291-7777,,https://soundsonic.jp/contact.html,,,CONCERT コンサート RECRUIT 採用情報,,47年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）サンデーフォークプロモーション,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）サンライズプロモーション,,,https://sunrisetokyo.com/performance_category/stage/,,,コンサート・イベントの企画、制作及び興行,,23年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ジェイルハウス,052-936-6041,,https://www.jailhouse.jp/contact/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ジャパン・アーツ,0570-00-1212,,https://www.japanarts.co.jp/inquiry,,,ジャパン・アーツの歩み CSR トップメッセージ 「人のいるところには夢がいる」 – 世界最高の感動ある舞台を、皆様,,50年,,,,クラシック音楽,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
（株）ジー・アイ・ピー,,recruit@gip-web.co.jp,https://www.gip-web.co.jp/information/detail/342,,,コンサート・イベントの企画、制作及び興行,,45年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）スターダストプロモーション,,,https://www.stardust.co.jp/contact/,,,タレント・歌手・俳優のマネージメント他 組織図 営業所 関連会社 STARDUST PROMOTION inc スタ,,47年,,,,芸能マネジメント,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
（株）スターダム,,,https://wwr-stardom.com/contact/,,,プロレス団体の経営 プロレスラー、格闘技選手、スポーツ選手、芸能タレントの養成並びにマネージメント プロレス及び格闘,,,,,,プロレス興行,,中,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
（株）スマッシュ,03-3444-6751,contact@m.smash-jpn.com,,,,海外アーティストの招聘・興行 ・ 国内アーティストコンサートの企画・制作・運営 ・ フェスティバル／イベントの企画・,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）スーパーキャスト,03-5573-2299,,,,,事業内容 事業実績 26/7/31 DEEN The Best DX�U 〜YOKOSUKA & KYOTO〜 横須,,31年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ソーゴー大阪,06-6344-3326,,https://www.sogoosaka.com/live_information/calendar/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ソーゴー東京,03-3405-9999,,https://sogotokyo.com/live_information/calendar/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）チッタワークス,044-276-8841,,,,,コンサート、イベントの企画・制作・運営・チケット販売など グッズ企画開発・販売、音源製作 ホール運営管理、飲食店舗プ,,21年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）テレビ朝日イベント事業局,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）テンポプリモ,03-3524-1221,,https://tempoprimo.co.jp/contact,,,,,17年,,,,クラシック音楽,,中,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
（株）ディスクガレージ,,ads@diskgarage.com,https://diskgarage.com/information,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）デューク,088-822-4488,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）トラスト企画クリエート,011-261-9991,,https://trustjpn.com/performance-record/,,,各種コンサート・公演の開催 企業・各種団体へのコンサート・ディナーショー・ステージショー・講演会等の企画提案、制作業,,29年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ナウウエストワン,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ネクストロード・プロダクション,03-5114-7444,,https://nextroad-p.com/contact/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ノースロード・ミュージック,022-256-1000,,https://www.north-road.co.jp/contactus/,,,コンサート・イベントの企画、制作及び興行,,45年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ハンズオン・エンタテインメント,03-6812-9501,,https://www.handson.gr.jp/contact/,,,音楽・エンタテインメントの企画・投資 コンサート・イベントの企画・制作事業 コンサートのマネジメント事業 アーティス,,48年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）バックステージプロジェクト,,,https://www.backstage.co.jp/contact/,,,ミュージックパブリッシング（著作権管理） 音楽プロダクション アーティストマネジメント会社経営 ファンクラブ企画運営,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）バンダイナムコミュージックライブ,,,https://www.bandainamcomusiclive.co.jp/contact/,,,音楽コンテンツの企画・制作・管理・運用、 アーティストの発掘・育成、 ライブイベントのプロデュース 取締役・監査役 ,,43年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ビッグイヤーアンツ（BEA）,092-712-4221,pia_overseas@linkst.jp,https://www.bea-net.com/liveinformation/artist/2611inabakoshi.html,,,▷ 1. コンサートの企画・制作・運営 ▷ 2. SP・営業イベントの制作・運営 ▷ 3. 自治体・各種団体等の催事,,47年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ピーエムエージェンシー,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）フジテレビジョン,03-5500-8888,,,,,コンサート・イベントの企画、制作及び興行,,18年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ブシロード,,,https://bushiroad.com/information,,,,,,,,,エンタメIP,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
（株）プロマックス,,,https://www.promax.co.jp/contact,,,エンタテインメント関連企画制作全般 ・コンサート、イベントの企画、制作、興行 ・海外アーティストの招聘 ・日本国内ア,,36年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ページ・ワン,06-6362-8122,,https://page-one.jp.org/contact.html,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ホットスタッフ・プロモーション,050-5211-6077,,,,,各種エンターテイメント・イベントなどの、企画・制作・運営 音楽原盤の作成及び輸出入 広告代理業 役員 代表取締役 会,,48年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ホリプロ,,,https://www.horipro.co.jp/contact/,,,はこちら 会社概要 グループ会社一覧 音事協magazine 最新号をチェック！ --> 個人情報の取り扱いについて,,63年,,,,演劇制作,,中,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
（株）ポニーキャニオン,,,https://www.ponycanyon.co.jp/support,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）マウントアライブ,050-3504-8700,,https://www.mountalive.com/contact/,,,国内外アーティストによるコンサート等の企画・制作・運営 各種イベント・フェスティバル等の企画・制作・運営 各種イベン,,18年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ミュージックファン,011-799-1000,&#x69;&#x6e;&#x66;&#x6f;&#x40;&#x6d;&#x75;&#x73;&#x69;&#x63;&#x66;&#x75;&#x6e;&#x2e;&#x63;&#x6f;&#x2e;&#x6a;&#x70;,https://musicfun.co.jp/information,,,■ミュージック事業 コンサート企画制作。 インセンティブ及び社内イベントに対する、アーティストブッキング。アーティス,,22年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ミュージックリーグ,,,https://musicleag.com/contact/,,,音楽会の企画、制作、運営 外国人アーティスト（音楽家等）の招聘及び斡旋、興行 芸能家、モデル、ナレーター、コンパニオ,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）モストプランニング,03-6455-4667,,http://most-planning.com/#contact,,,＞ 原盤制作 楽曲制作 ゲーム音声収録 レーベル運営 プロダクション業務 ファンクラブ運営 グッズ企画・制作・販売 ,,12年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ヤング・コミュニケーション,,,,,,コンサート、音楽イベント、演劇など、各種公演の企画・制作・運営に関する業務 Page top Page top ホー,,46年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ユニオン音楽事務所,,,,,,コンサート・イベント・学園祭の企画・制作・運営 アーティストプロモーション・ブッキング,,56年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ライブエグザム,,,https://www.liveexsam.co.jp/contact/,,,Event Planning 企画・制作・運営 Event Sponsorship 出資・共催 Event Sale,,12年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ライブ・ネーションH.I.P.,03-3475-9999,,https://www.livenationhip.co.jp/contact,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）ワタナベエンターテインメント,,,https://www.watanabepro.co.jp/contact/select/,,,,,,,,,芸能マネジメント,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
（株）夢番地,086-231-3531,member-ymb@yumebanchi.jp,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）太田プロダクション,,toiawase@ohtapro.co.jp,https://www.ohtapro.co.jp/about/contact.html,,,,,,,,,演芸興行,,小,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
（株）文化放送開発センター,03-5403-2611,,https://www.joqr-bkc.co.jp/contact.php,,,コンサート・イベントの企画、制作及び興行,,59年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）松涛企画,03-6303-1537,,https://www.shooto.co.jp/contact.html,,,,,,,,,格闘技興行,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
（株）梅田芸術劇場,0570-077-039,,https://www.umegei.com/system/productions/#_contact,,,劇場の運営管理、貸館業務 ・演劇・ミュージカル等の企画・制作・上演 ・チケット販売業務 ・所属アーティストのマネジメ,,22年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）清水音泉,06-6357-3666,info@shimizuonsen.com,https://www.shimizuonsen.com/contact,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）道新文化事業社,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
（株）阪神コンテンツリンク,06-6347-6512,,https://hcl-c.com/contact/,,,Business 事業内容 エンタテインメント・ コミュニケーション分野で 阪神グループの持つ様々な コンテンツを集,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
