会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
静岡ブルーレヴズ,050-3354-0315,recruit@shizuoka-bluerevs.rugby,https://www.shizuoka-bluerevs.com/contact,,,ラグビークラブの運営他 --> 静岡県知事登録旅行業 地域 第34号 <約款> ミッション・ビジョン 沿革 スポンサ,,5年,,,,ラグビー興行,,,〇,,,リーグワンのクラブ。ホストチームが全席のチケット販売を行うと公式に記載。LINE公式は未確認
刈谷ハイウェイオアシス株式会社,0566-35-0211,info@kariya-oasis.com,https://kariya-oasis.com/contact/,,,刈谷ハイウェイオアシスの管理・運営 採用 新卒採用 中途採用 現在実施しておりません。 パート・アルバイト募集 ① ,,,,,施設運営が主。イベント主催の頻度は要確認,レジャー施設運営,,,,,,施設運営会社。社名は公式サイトで確認。主催の常時性は要確認。LINE公式は未確認
東武レジャー企画株式会社,0480-93-1200,nihonyan@tobuzoo.co.jp,https://www.tobuzoo.com/news_list/information/,,,遊園地・動物園・プール事業 次世代育成対策推進法に基づく一般事業主行動計画 女性活躍推進法に基づく一般事業主行動計画,,50年,,,施設運営が主。イベント主催の頻度は要確認,レジャー施設運営,,,,,,施設運営会社。社名は公式サイトで確認。主催の常時性は要確認。LINE公式は未確認
公益財団法人大槻能楽堂,06-6943-9454,info@noh-theater.com,https://www.noh-theater.com/toiawase.php,,,自主公演の企画・主催,,,,,,伝統芸能,,,〇,,,自主公演を主催しチケットを自社で販売、公式サイトで確認。LINE公式は未確認
公益財団法人三重県文化振興事業団,059-233-1111,soubun@center-mie.or.jp,https://www.center-mie.or.jp/rental/form,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人京都市音楽芸術文化振興財団,075-711-2980,westy@kyoto-ongeibun.jp,https://www.kyoto-ongeibun.jp/information/,,,芸術及び芸能の振興並びに伝統芸能の継承及び発展に資する事業 ・京都の文化芸術の国内外への発信と交流の促進に資する事業,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人北九州市芸術文化振興財団,093-562-3016,ootemachi-yoyaku@kicpac.org,,,,沿革 事業計画・事業報告・財務諸表等 資料は予算（前年度末）・決算（年度終了後）の理事会に提出した資料です。 最新の,,50年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人大分県芸術文化スポーツ振興財団,097-533-4000,kikaku@emo.or.jp,https://emo.or.jp/inquiry/,,,等に関するご質問･,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人宮城県文化振興財団,0985-32-8457,miyainfo@mif.or.jp,https://www.mif.or.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人宮崎県立芸術劇場,,shisetsu@miyazaki-ac.jp,https://miyazaki-ac.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人山形県生涯学習文化財団,023-625-6411,yama@gakushubu,https://www.gakushubunka.jp/contact/,,,自主事業として公演を企画・主催,,36年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人岡山県文化連盟,086-234-2626,bunkaren@o-bunren.jp,https://o-bunren.jp/contact/,,,自主事業として公演を企画・主催,,21年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人岩手県文化振興事業団,019-654-2235,kikin@iwate-bunshin.jp,https://www.iwate-bunshin.jp/contact/,,,公益財団法人岩手県文化振興事業団では、上記の目的を達成するため、次の事業を行っています。 (１) 公益目的事業 ア ,,15年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人島根県芸術文化センター,0856-31-1860,grandtoit@cul-shimane.jp,https://www.grandtoit.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人川崎市文化財団,044-272-7366,wwoz42kawasaki@gmail.com,,,,自主事業として公演を企画・主催,,14年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人徳島県文化振興財団,088-622-8121,info@kyoubun.or.jp,,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人愛媛県文化振興財団,089-927-4777,koen@ecf.or.jp,https://www.ecf.or.jp/contact/,,,文化芸術及び伝統文化の振興 文化事業の企画及び実施 文化活動の支援及び協働 文化情報の収集及び発信 愛媛県県民文化会,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人日本伝統文化振興財団,,info@japo-net.or.jp,https://jtcf.jp/contact,,,お問い合わせ 個人情報保護方針 デジタルアーカイブ 歴史的音源について アーカイブ事業 お問い合わせ --> CD・,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人滋賀県文化振興事業団,077-523-7133,toiawase@biwako-hall.or.jp,https://www.biwako-hall.or.jp/performance,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人石川県芸術文化協会,076-232-8111,ishikawa-ongakudo@e-get.jp,https://ongakudo.jp/contact/form/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人神奈川県立音楽堂,045-663-3711,soumu-renraku@kanagawa-af.org,https://www.kanagawa-arts.or.jp/contact,,,自主事業として公演を企画・主催,,33年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人立川市地域文化振興財団,042-526-1311,yamada@example.com,https://risuru.hall-info.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人長崎県文化振興課,095-829-1235,bun_shin@city.nagasaki.lg.jp,,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人静岡県文化財団,054-289-9000,info@granship.or.jp,https://www.granship.or.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人静岡県舞台芸術センター,054-203-5730,recafe@spac.or.jp,https://spac.or.jp/access,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人香川県文化芸術振興財団,087-832-3785,chiken@kagawa-arts.or.jp,https://www.kagawa-arts.or.jp/contact/,,,役員紹介 役員報酬 ログイン,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人高知県文化財団,088-866-8013,artscouncil@kochi-bunkazaidan.or.jp,https://www.kochi-bunkazaidan.or.jp/inquiry,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自社販売、公式サイトで確認。LINE公式は未確認
一般社団法人落語協会,03-3833-8563,yanawasa@gmail.com,https://www.rakugo-kyokai.jp/contact,,,,,,,,,演芸興行,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
KAMIKAWA・士別サムライブレイズ,,info@s-bets.jp,,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式は未確認
北九州下関フェニックス,,info@phoenix2022.co.jp,https://phoenix2022.co.jp/contact.html,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式は未確認
和歌山ウェイブス,,info@wakayama-waves.jp,https://wakayama-waves.jp/contact/,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式は未確認
堺シュライクス,072-230-4675,info@sakai-shrikes.jp,https://sakai-shrikes.jp/contact,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式は未確認
富山GRNサンダーバーズ,0766-50-8980,9dzfd9fv@g.bmb.jp,https://tbirds.jp/inquiry/,,,プロ野球独立リーグの球団運営、主催試合の興行,,20年,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式は未確認
山梨ファイアーウィンズ,,noreply@zebral.jp,https://yamanashi-firewinds.jp/contact,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式は未確認
徳島インディゴソックス,088-679-8915,info@mail.com,https://indigo-socks.com/contact/,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式は未確認
栃木ゴールデンブレーブス,0296-34-6030,volunteer@tochigi-braves.jp,https://tochigi-braves.jp/contact_inquiry/,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式は未確認
茨城アストロプラネッツ,,info@ibaraki-planets.jp,https://www.ibaraki-planets.jp/contact/index.html,,,茨城アストロプラネッツの管理・運営 代表者 代表取締役 小谷野 宗靖 メール info@ibaraki-planet,,8年,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式は未確認
香川オリーブガイナーズ,087-881-0355,info@moneyball.cloud,https://oliveguyners.com/information,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、公式サイトで確認。LINE公式は未確認
公益財団法人日本相撲協会,03-3622-0366,dantai@sumo.or.jp,https://www.sumo.or.jp/IrohaKyokaiInformation/wrap/,,,,,,,,,相撲興行,,大,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
公益財団法人日本舞台芸術振興会,03-3791-8888,info@nbs.or.jp,https://www.nbs.or.jp/global/form/mailformpro-2024wbf-auction-nbs/,,,自主公演の企画・主催,,,,,,舞台芸術招聘,,,〇,,,自主公演を主催しチケットを自社で販売、公式サイトで確認。LINE公式は未確認
