会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
一般社団法人劇団コーロ,,,https://kooro.org/mail/index.html,,,児童・青少年向け演劇の制作・上演、公演の主催,,,,,,児童青少年演劇,,,〇,,,児演協の加盟劇団。自主公演を上演、連絡はフォーム
劇団たんぽぽ,053-461-5395,,https://www.gekidan-tanpopo.com/performance/,,,児童・青少年向け演劇の制作・上演、公演の主催,,,,,,児童青少年演劇,,,〇,,,児演協の加盟劇団。自主公演を上演、連絡はフォーム
劇団野ばら,042-439-9778,,https://gekidan-nobara.com/contact/,,,児童・青少年向け演劇の制作・上演、公演の主催,,,,,,児童青少年演劇,,,〇,,,児演協の加盟劇団。自主公演を上演、連絡はフォーム
公益社団法人日本オーケストラ連盟,03-5610-7275,,https://www.orchestra.or.jp/information/,,,自主公演の企画・主催,,,,,,実演団体,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人アフィニス文化財団,03-5797-7135,,https://www.affinis.or.jp/inquiry.html,,,一覧 事業内容一覧 オーケストラへの助成 アフィニス夏の音楽祭の開催 アフィニス・アンサンブル・セレクション 海外研,,38年,,,,実演団体,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
エスポラーダ北海道,011-676-4730,,https://espolada.com/contact/,,,自主事業として公演を企画・主催,,18年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
一般財団法人地域創造,03-5573-4173,,https://www.jafra.or.jp/about/inquiry.html,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益社団法人能楽協会,03-5925-3871,,https://www.nohgaku.or.jp/performance,,,自主事業として公演を企画・主催,,18年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益社団法人落語芸術協会,,,https://www.geikyo.com/inquiry/index,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人アクトシティ浜松運営財団,053-451-1111,,https://www.actcity.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人ヤマハ音楽振興会,,,https://www.yamaha-mf.or.jp/contacts/,,,自主事業として公演を企画・主催,,15年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人三鷹市スポーツと文化財団,0422-47-9100,,https://mitaka-sportsandculture.or.jp/zaidan/inquiry/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人北区文化振興財団,03-5390-1221,,https://kitabunka.or.jp/performing-arts/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人北海道文化財団,011-272-0501,,https://haf.jp/inquiry.php,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人千葉交響楽団,043-222-4231,,https://chibakyo.jp/contact/#scroll-position,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人名古屋市科学館,052-201-4486,,https://www.ncsm.city.nagoya.jp/visit/visitors_guide/inquiry.html,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人埼玉県公園緑地協会,048-812-2002,,https://www.parks.or.jp/association/guide/000/000532.html,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人埼玉県芸術文化振興財団,048-858-5500,,https://www.saf.or.jp/information/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人多摩市文化振興財団,042-375-1414,,https://www.parthenon.or.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人小田原市文化財団,0465-33-1300,,https://www.city.odawara.kanagawa.jp/field/municipality/disclosure/singikaitounokoukai/information/seinenkoukenseido.html,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人尼崎市文化振興財団,06-6487-0800,,https://www.archaic.or.jp/inquiry/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人岡山文化芸術創造,086-234-2001,,https://www.ocac.jp/information/,,,財団の事業について 公益目的事業 （1）文化芸術の創造・発信、振興及び普及に関する事業 当法人が運営する岡山フィルハ,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人川口総合文化センター,048-258-2000,,https://www.lilia.or.jp/inquiry,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人市川市文化振興財団,047-379-5111,,https://www.tekona.net/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人愛知県文化振興,052）971-5511,,https://www.aac.pref.aichi.jp/information/000723.html,,,を掲載しました 2024.07.24 １１階展望回廊の再開について 2024.06.03 こころのおやつ「AAC タ,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人愛知県文化振興事業団,052）971-5511,,https://www.aac.pref.aichi.jp/information/000723.html,,,を掲載しました 2024.07.24 １１階展望回廊の再開について 2024.06.03 こころのおやつ「AAC タ,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人所沢市文化振興事業団,04-2998-6500,,https://www.muse-tokorozawa.or.jp/contact/,,,《公益目的事業》 1. 芸術文化の振興を図るための事業の企画及び実施に関する事業 2. 前号に掲げる事業に係る情報の,,34年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人日本科学技術振興財団,03-3212-8484,,https://www.jsf.or.jp/info/information/1888/,,,自主事業として公演を企画・主催,,62年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人日本芸術文化振興会,03‐3265‐7411,,https://www.ntj.jac.go.jp/contactus/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人札幌市生涯学習振興財団,011-671-2200,,https://www.chieria.slp.or.jp/contact/previous-index.html,,,2026 8 prev next 日 月 火 水 木 金 土 26 27 28 29 30 31 1 2 3 4 5,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人栃木県民芸術劇場,028-643-1013,,https://www.sobun-tochigi.jp/contact.html,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人江戸川区文化共育・地域振興財団,03-3652-1111,,https://edogawa-bunkacenter.jp/inquiry/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人海老名市国際交流協会,046-232-3231,,https://www.ebina-bunka.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人熊本市美術文化振興財団,096-278-7500,,https://www.camk.jp/information/guide/,,,自主事業として公演を企画・主催,,25年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人福岡市文化芸術振興財団,092-263-6300,,https://www.ffac.or.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人藤沢市みらい創造財団,0466-21-7861,,https://f-mirai.jp/about/toiawase,,,青少年の健全な育成を目的とする事業 市民の健康づくりと生涯スポーツの推進を目的とする事業 芸術文化の振興を目的とする,,14年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人豊橋文化振興財団,0532-39-8810,,https://www.toyohashi-at.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人鎌倉市芸術文化振興財団,,,https://www.kamakura-arts.or.jp/information/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人長野市文化芸術振興財団,026-219-3100,,https://www.nagano-arts.or.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益財団法人長野県文化振興事業団,026-219-3100,,https://www.nagano-arts.or.jp/contact/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
花園近鉄ライナーズ,,,https://hanazono-liners.jp/fc_form/,,,自主事業として公演を企画・主催,,97年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
（株）ケイ・ワン,,,https://www.k-1.co.jp/contact,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
いせさき演劇鑑賞会,0270-23-5100,,https://isesaki-enkan.jimdofree.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,,,会員制で演劇公演を企画・主催、例会の運営,,,,,,演劇鑑賞団体,,,〇,,,会員制の演劇鑑賞団体。例会公演を自主主催、連絡はフォーム
いせ演劇鑑賞会,0596-22-3060,,https://iseenkan.jimdofree.com/%E3%81%8A%E5%95%8F%E5%90%88%E3%81%9B-%E9%80%A3%E7%B5%A1%E5%85%88/,,,会員制で演劇公演を企画・主催、例会の運営,,,,,,演劇鑑賞団体,,,〇,,,会員制の演劇鑑賞団体。例会公演を自主主催、連絡はフォーム
いわき演劇鑑賞会,0246-21-5963,,https://iwaki-enkan.jp/contact/,,,会員制で演劇公演を企画・主催、例会の運営,,,,,,演劇鑑賞団体,,,〇,,,会員制の演劇鑑賞団体。例会公演を自主主催、連絡はフォーム
ちた半島演劇鑑賞会,,,https://chitaengeki.jimdofree.com/%E5%85%A5%E4%BC%9A%E6%A1%88%E5%86%85-%E3%81%8A%E5%95%8F%E5%90%88%E3%82%8F%E3%81%9B/,,,会員制で演劇公演を企画・主催、例会の運営,,,,,,演劇鑑賞団体,,,〇,,,会員制の演劇鑑賞団体。例会公演を自主主催、連絡はフォーム
ひらつか演劇鑑賞会,0463-24-3265,,https://hiratuka-engeki.jimdofree.com/%E3%81%8A%E5%95%8F%E5%90%88%E3%81%9B/,,,会員制で演劇公演を企画・主催、例会の運営,,,,,,演劇鑑賞団体,,,〇,,,会員制の演劇鑑賞団体。例会公演を自主主催、連絡はフォーム
ふなばし演劇鑑賞会,047-402-6488,,https://funaen.com/performances/,,,会員制で演劇公演を企画・主催、例会の運営,,,,,,演劇鑑賞団体,,,〇,,,会員制の演劇鑑賞団体。例会公演を自主主催、連絡はフォーム
福山市民劇場,,,https://fukuyama-shimingekijyo.jimdofree.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,,,会員制で演劇公演を企画・主催、例会の運営,,,,,,演劇鑑賞団体,,,〇,,,会員制の演劇鑑賞団体。例会公演を自主主催、連絡はフォーム
高崎演劇鑑賞会,,,https://takasaki-enkan.jimdofree.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,,,会員制で演劇公演を企画・主催、例会の運営,,,,,,演劇鑑賞団体,,,〇,,,会員制の演劇鑑賞団体。例会公演を自主主催、連絡はフォーム
一般財団法人牧阿佐美バレヱ団,03-3360-8251,,https://www.ambt.jp/kurumi-audition2026-form/,,,自主公演の企画・主催,,,,,,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
公益社団法人観世九皐会,012-345-6789,,https://kanze.net/publics/index/33/,,,自主公演の企画・主催,,,,,,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
株式会社よみうりランド,,,https://www.yomiuriland.com/information/,,,自主公演の企画・主催,,,,,,演芸・伝統芸能・バレエ,,,,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
株式会社サンシャインシティ,,,https://sunshinecity.jp/information/access_train.html,,,自主公演の企画・主催,,,,,,演芸・伝統芸能・バレエ,,,,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
株式会社シーパラダイス,045-788-8888,,https://www.seaparadise.co.jp/contact/,,,自主公演の企画・主催,,,,,,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
株式会社日本モンキーパーク,0568-61-0870,,https://www.japan-monkeypark.jp/inquiry/,,,自主公演の企画・主催,,,,,,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
株式会社海遊館,06-6576-5501,,https://www.kaiyukan.com/info/faq/,,,自主公演の企画・主催,,,,,,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
浅草演芸ホール,03-3841-6545,,https://www.asakusaengei.com/contact/,,,自主公演の企画・主催,,,,,,演芸・伝統芸能・バレエ,,,〇,,,自主公演を主催しチケットを自団体で販売、連絡はフォーム
大分B-リングス,097-588-1662,,https://oitabrings.jp/contact/,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、連絡はフォーム
姫路イーグレッターズ,,,https://egreters.com/contact,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、連絡はフォーム
愛媛マンダリンパイレーツ,089-914-8102,,https://www.m-pirates.jp/contact,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、連絡はフォーム
石川ミリオンスターズ,076-282-9723,,https://www.m-stars.jp/info/,,,プロ野球独立リーグの球団運営、主催試合の興行,,20年,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、連絡はフォーム
福島レッドホープス,024-923-1789,,https://red-hopes.com/contact/sponsor,,,プロ野球独立リーグの球団運営、主催試合の興行,,8年,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、連絡はフォーム
美唄ブラックダイヤモンズ,,,https://bibai-blackdiamonds.com/contact/,,,プロ野球独立リーグの球団運営、主催試合の興行,,,,,,独立リーグ野球,,,〇,,,独立リーグの球団。自主興行でチケットも自社販売、連絡はフォーム
