会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
株式会社スマッシュ,03-3444-6751,contact@m.smash-jpn.com,,,,海外アーティストの招聘・興行 ・ 国内アーティストコンサートの企画・制作・運営 ・ フェスティバル／イベントの企画・,,,,,,コンサートプロモーター,S,大,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ホリプロ,,,https://www.horipro.co.jp/contact/,,,はこちら 会社概要 グループ会社一覧 音事協magazine 最新号をチェック！ --> 個人情報の取り扱いについて,,63年,,自社サイト,,演劇制作,S,中,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ロッキング・オン・ジャパン,,,,,,音楽フェスの主催、音楽雑誌の発行,,,,,,イベント制作,S,大,〇,,,ROCK IN JAPAN 27.5万人、JAPAN JAM 19.2万人、CDJ 15.8万人を自社主催
株式会社読売新聞東京本社事業局スタジアム・アリーナ部,,t-medmovie@yomiuri.com,https://www.yomiuri.co.jp/stream/form/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,S,,〇,〇,https://line.me/R/ti/p/@196jigne,ACPC正会員の主催プロモーター。公式サイトでLINE公式アカウントへの導線を確認
LiveNationJapan合同会社,03-3475-9999,,https://www.livenationhip.co.jp/contact,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
ライブマスターズ株式会社,,info@livemasters.jp,https://livemasters.jp/live_information/calendar/,,,コンサート・イベントの制作および運営 コンサート・イベントのチケットの販売 歌手、タレント及び物語、漫画などの登場人,,15年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
一般社団法人落語協会,03-3833-8563,,https://www.rakugo-kyokai.jp/contact,,,,,,,,,演芸興行,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
公益社団法人落語芸術協会,,,https://www.geikyo.com/inquiry/index,,,,,,,,,演芸興行,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
公益財団法人日本相撲協会,03-3622-0366,,https://www.sumo.or.jp/IrohaKyokaiInformation/wrap/,,,,,,,,,相撲興行,,大,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
大日本プロレス株式会社,045-507-1751,bjw_shop@yahoo.co.jp,https://bjw.co.jp/contact/,,,プロレス興行の企画・主催,,,,,,プロレス興行,,小,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
有限会社エフ・オー・ビー企画,,,,,,コンサート・イベントの企画、制作及び興行,,50年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
有限会社ヴィンテージロック,,info@vintage-rock.com,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
松竹芸能株式会社,06-6258-8085,sg_fanmail@shochiku.co.jp,https://www.shochikugeino.co.jp/contact/,,,タレント・俳優の養成 演劇制作 テレビドラマ制作 イベント制作 映画、音楽、ラジオ、テレビ、レコードその他これに関連,,70年,,,,演芸興行,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
株式会社GAKUONユニティ・フェイス,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社LIVEFORWARD,,,,,,●ライブコンテンツの制作、運営、自社イベント開発 ●外部コンテンツ会社様との共同事業 ●IMM THEATERの運営,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社LuckyFM茨城放送,,,https://lucky-ibaraki.com/contact/,,,民間放送 創立 昭和37年9月12日（昭和38年4月1日開局） コールサイン JOYF（水戸局） JOYL（土浦局）,,64年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社STARBASE,,,https://starbase.jp/contact/,,,ブランドコミュニケーション事業 ライブ・イベント制作事業 アーティストエージェント事業 デジタル配信事業 音楽制作・,,9年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社iTONYENTERTAINMENT,,info@itony.co.jp,https://itony.co.jp/information/,,,音楽コンサート/企業イベント等 企画・制作・運営・アーティストマネージメント,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社アイエス,03-3355-3553,,https://www.aiesu.co.jp/information_2020.html,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社アリノワ．,028-645-1660,,https://arinowa.com#CONTACT,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社アーツイノベーター・ジャパン,,,https://artsinnovator.com/contact/,,,楽器レンタル オーケストラ/アーティスト,,7年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ウエス,011-614-9999,,https://wess.jp/contact/,,,コンサート・イベントの企画、制作及び興行,,45年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ウドー音楽事務所,,,,,,海外アーティストの招聘・コンサート・イベントの企画・制作・宣伝・運営・舞台制作／ツアーマネージメント・アーティスト付,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社エドワードライヴエンターテインメント,,,https://www.edward.co.jp/live/contact/,,,国内外アーティストのコンサート・イベント、各種エンターテインメントの企画・ 制作・運営 行政・団体・企業イベント、学,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社エニー,03-1234-5678,tarou@test.co.jp,https://www.any-group.jp/contact/form1.html,,,コンサート・イベントの企画、制作及び興行,,39年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社オデッセー,03-4426-6303,,https://ody-inc.com/news/20210108.html,,,コンサート、イベントの企画、制作、運営 / 興行・イベントのチケットの販売及び宣伝 関連企業 株式会社アップフロント,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社キャピタルヴィレッジ,0570-08-9999,,https://form.capital-village.co.jp/otoiawase/,,,コンサート・イベントの企画、制作及び興行,,45年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社キャンディープロモーション,082-249-8334,,,,,コンサート・イベントの企画、制作及び興行,,44年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社キョードーファクトリー,0570-025-500,,https://kyodo-factory.com/performance-results/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社キョードープロデューサーズ,0570-200-551,,,,,ライブエンターテイメント事業 （ コンサート・ミュージカル・演劇・ダンス・寄席・演芸・スポーツ・イベント・展覧会など,,16年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社キョードー北陸,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社キョードー札幌,011-221-0144,,https://www.kyodosapporo.com/contact,,,コンサート・イベントの企画、制作及び興行,,50年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社キョードー東北,050-3185-6761,,https://www.kyodo-tohoku.com/artist/59/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社キョードー東海,,,https://www.kyodotokai.co.jp/informations/recruit,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社キョードー横浜,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社キョードー西日本,0570-09-2424,,https://www.kyodo-west.co.jp/otoiawase.php,,,1. 演芸及びスポーツの企画制作並びに興行 2. 日本国芸能人の海外市場への提供並びに外国芸能人の招聘 3. 興行の,,47年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ギルドネクスト,022-222-2033,,,,,コンサートの企画制作・主催及びチケット・CD・DVD等の販売 ●,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社グリーンズコーポレーション,0570-200-882,info@oica-project.jp,https://www.greens-corp.co.jp/info/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社グリーンルーム,03-6455-2330,,https://greenroom.co/contact_form/,,,EVENT・FESTIVAL ART GALLERY グループ会社 GREENROOM GALLERY INC. G,,27年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社サウンドクリエーター,,,https://www.sound-c.co.jp/news/detail/1688/,,,1.コンサートの企画・制作・運営 2.ツアー制作業務 3.SP・営業イベントの制作・運営 4.自治体、各種団体等の催,,49年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社サウンド・ソニック,076-291-7777,,https://soundsonic.jp/contact.html,,,CONCERT コンサート RECRUIT 採用情報,,47年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社サンデーフォークプロモーション,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社サンライズプロモーション,,,https://sunrisetokyo.com/performance_category/stage/,,,コンサート・イベントの企画、制作及び興行,,23年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ジェイルハウス,052-936-6041,,https://www.jailhouse.jp/contact/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ジャパン・アーツ,0570-00-1212,,https://www.japanarts.co.jp/inquiry,,,ジャパン・アーツの歩み CSR トップメッセージ 「人のいるところには夢がいる」 – 世界最高の感動ある舞台を、皆様,,50年,,,,クラシック音楽,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ジー・アイ・ピー,,recruit@gip-web.co.jp,https://www.gip-web.co.jp/information/detail/342,,,コンサート・イベントの企画、制作及び興行,,45年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社スターダストプロモーション,,,https://www.stardust.co.jp/contact/,,,タレント・歌手・俳優のマネージメント他 組織図 営業所 関連会社 STARDUST PROMOTION inc スタ,,47年,,,,芸能マネジメント,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
株式会社スターダム,,,https://wwr-stardom.com/contact/,,,プロレス団体の経営 プロレスラー、格闘技選手、スポーツ選手、芸能タレントの養成並びにマネージメント プロレス及び格闘,,,,,,プロレス興行,,中,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
株式会社スーパーキャスト,03-5573-2299,,,,,事業内容 事業実績 26/7/31 DEEN The Best DX�U 〜YOKOSUKA & KYOTO〜 横須,,31年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ソーゴー大阪,06-6344-3326,,https://www.sogoosaka.com/live_information/calendar/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ソーゴー東京,03-3405-9999,,https://sogotokyo.com/live_information/calendar/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社チッタワークス,044-276-8841,,,,,コンサート、イベントの企画・制作・運営・チケット販売など グッズ企画開発・販売、音源製作 ホール運営管理、飲食店舗プ,,21年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社テレビ朝日イベント事業局,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社テンポプリモ,03-3524-1221,,https://tempoprimo.co.jp/contact,,,クラシック・舞台芸術の公演プロデュース、招聘,,17年,,,,クラシック音楽,,中,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ディスクガレージ,,ads@diskgarage.com,https://diskgarage.com/information,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社デューク,088-822-4488,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社トラスト企画クリエート,011-261-9991,,https://trustjpn.com/performance-record/,,,各種コンサート・公演の開催 企業・各種団体へのコンサート・ディナーショー・ステージショー・講演会等の企画提案、制作業,,29年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ドラゴンゲート,,,,,,プロレス興行の企画・主催,,,,,,プロレス興行,,中,〇,,,1999年旗揚げ、2004年DRAGONGATEに改称。自主興行を継続
株式会社ナウウエストワン,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ネクストロード・プロダクション,03-5114-7444,,https://nextroad-p.com/contact/,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ノースロード・ミュージック,022-256-1000,,https://www.north-road.co.jp/contactus/,,,コンサート・イベントの企画、制作及び興行,,45年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ハンズオン・エンタテインメント,03-6812-9501,,https://www.handson.gr.jp/contact/,,,音楽・エンタテインメントの企画・投資 コンサート・イベントの企画・制作事業 コンサートのマネジメント事業 アーティス,,48年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社バックステージプロジェクト,,,https://www.backstage.co.jp/contact/,,,ミュージックパブリッシング（著作権管理） 音楽プロダクション アーティストマネジメント会社経営 ファンクラブ企画運営,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社バンダイナムコミュージックライブ,,,https://www.bandainamcomusiclive.co.jp/contact/,,,音楽コンテンツの企画・制作・管理・運用、 アーティストの発掘・育成、 ライブイベントのプロデュース 取締役・監査役 ,,43年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ビッグイヤーアンツ（BEA）,092-712-4221,pia_overseas@linkst.jp,https://www.bea-net.com/liveinformation/artist/2611inabakoshi.html,,,▷ 1. コンサートの企画・制作・運営 ▷ 2. SP・営業イベントの制作・運営 ▷ 3. 自治体・各種団体等の催事,,47年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ピーエムエージェンシー,,,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社フジテレビジョン,03-5500-8888,,,,,コンサート・イベントの企画、制作及び興行,,18年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ブシロード,,,https://bushiroad.com/information,,,カードゲーム・IP事業、ライブイベントの企画,,,,,,エンタメIP,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
株式会社プロマックス,,,https://www.promax.co.jp/contact,,,エンタテインメント関連企画制作全般 ・コンサート、イベントの企画、制作、興行 ・海外アーティストの招聘 ・日本国内ア,,36年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ページ・ワン,06-6362-8122,,https://page-one.jp.org/contact.html,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ホットスタッフ・プロモーション,050-5211-6077,,,,,各種エンターテイメント・イベントなどの、企画・制作・運営 音楽原盤の作成及び輸出入 広告代理業 役員 代表取締役 会,,48年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ポニーキャニオン,,,https://www.ponycanyon.co.jp/support,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社マウントアライブ,050-3504-8700,,https://www.mountalive.com/contact/,,,国内外アーティストによるコンサート等の企画・制作・運営 各種イベント・フェスティバル等の企画・制作・運営 各種イベン,,18年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ミュージックファン,011-799-1000,&#x69;&#x6e;&#x66;&#x6f;&#x40;&#x6d;&#x75;&#x73;&#x69;&#x63;&#x66;&#x75;&#x6e;&#x2e;&#x63;&#x6f;&#x2e;&#x6a;&#x70;,https://musicfun.co.jp/information,,,■ミュージック事業 コンサート企画制作。 インセンティブ及び社内イベントに対する、アーティストブッキング。アーティス,,22年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ミュージックリーグ,,,https://musicleag.com/contact/,,,音楽会の企画、制作、運営 外国人アーティスト（音楽家等）の招聘及び斡旋、興行 芸能家、モデル、ナレーター、コンパニオ,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社モストプランニング,03-6455-4667,,http://most-planning.com/#contact,,,＞ 原盤制作 楽曲制作 ゲーム音声収録 レーベル運営 プロダクション業務 ファンクラブ運営 グッズ企画・制作・販売 ,,12年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ヤング・コミュニケーション,,,,,,コンサート、音楽イベント、演劇など、各種公演の企画・制作・運営に関する業務 Page top Page top ホー,,46年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ユニオン音楽事務所,,,,,,コンサート・イベント・学園祭の企画・制作・運営 アーティストプロモーション・ブッキング,,56年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ライブエグザム,,,https://www.liveexsam.co.jp/contact/,,,Event Planning 企画・制作・運営 Event Sponsorship 出資・共催 Event Sale,,12年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ライブ・ネーションH.I.P.,03-3475-9999,,https://www.livenationhip.co.jp/contact,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社ワタナベエンターテインメント,,,https://www.watanabepro.co.jp/contact/select/,,,,,,,,,芸能マネジメント,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
株式会社夢番地,086-231-3531,member-ymb@yumebanchi.jp,,,,コンサート・イベントの企画、制作及び興行,,,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社太田プロダクション,,toiawase@ohtapro.co.jp,https://www.ohtapro.co.jp/about/contact.html,,,お笑いライブの主催、芸能マネジメント,,,,,,演芸興行,,小,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
株式会社文化放送開発センター,03-5403-2611,,https://www.joqr-bkc.co.jp/contact.php,,,コンサート・イベントの企画、制作及び興行,,59年,,,,コンサートプロモーター,,,〇,,,ACPC正会員の主催プロモーター。公式サイトを確認、LINE公式は未確認のため空欄
株式会社松涛企画,03-6303-1537,,https://www.shooto.co.jp/contact.html,,,,,,,,,格闘技興行,,,〇,,,自社で興行を企画・主催。公式サイトを確認、LINE公式は未確認のため空欄
