会社名,電話番号,メールアドレス,お問い合わせフォームURL,担当者,ステータス,事業内容,売上規模,創業年数,上場区分,チケットツール,メモ,業種,ランク,イベント規模,主催者,LINE公式,LINE公式アカウント情報,判定根拠
ソノーレウインドアンサンブル,,info@sonore-wind.com,,,,定期演奏会の企画・主催、楽団運営,,,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
名古屋市民吹奏楽団,,info@meishisui.com,https://www.meishisui.com/inquiry/,,,定期演奏会の企画・主催、楽団運営,,,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
多摩川吹奏楽団,,public@tamasui.com,,,,定期演奏会の企画・主催、楽団運営,,,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
徳島吹奏楽団,088-655-5554,nmt99999@foma.nmt.ne.jp,https://www.nmt.ad.jp/toiawase/index.html,,,定期演奏会の企画・主催、楽団運営,,,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
所沢北吹奏楽団,,contact@kitasui-tokorozawa.org,https://kitasui-tokorozawa.org/contact/,,,定期演奏会の企画・主催、楽団運営,,,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
東広島ウインドアンサンブル,086-265-9547,privacy@tiki.ad.jp,https://www.tiki.ne.jp/information.html,,,インターネット接続サービス ネットコンテンツの企画・制作・販売 法人向けITソリューションおよびコンサルティング ケ,,29年,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
東海市吹奏楽団,052-603-0304,dp59228684@au.lolipop.jp,,,,定期演奏会の企画・主催、楽団運営,,,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
桶川市民吹奏楽団について,,ask@okesui.info,,,,定期演奏会の企画・主催、楽団運営,,49年,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
甲西吹奏楽団,0120-307-002,info@mediawars.ne.jp,https://www.mediawars.ne.jp/inquiry/,,,定期演奏会の企画・主催、楽団運営,,30年,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
青森吹奏楽団,,sound.jp@sound.jp,,,,定期演奏会の企画・主催、楽団運営,,,,,,吹奏楽団,,,〇,,,楽団が定期演奏会を自主主催しチケットを自団体で扱う、公式サイトで確認
NPO全日本シニアアンサンブル連盟,,info@npo-jse.org,https://npo-jse.org/contact.html,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認
アンサンブル・キララ,,emsemble.kilala@gmail.com,,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認
・ひとよしくま市民劇場,,legal@peraichi.com,https://peraichi.com/landing_pages/view/peraichi-forms,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認
公益財団法人三田市,079-559-8100,information@sanda-bunka.jp,https://sanda-bunka.jp/inquery/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認
公益財団法人都城市文化振興財団,0986-23-7140,mj-shisetu@mj-hall.jp,https://mj-hall.jp/informations/hall-syuzen/,,,自主事業として公演を企画・主催,,,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認
公益財団法人高崎財団,027-321-7304,s-tennis@takasaki-foundation.or.jp,https://www.takasaki-foundation.or.jp/about.php#information,,,等について、写真・動画等を活用し、情報を発信する。 2. コメント管理 財団は、財団アカウントを通じて、専ら情報発信,,42年,,,,文化事業・公演主催,,,〇,,,自主公演を主催しチケットを自団体で販売、公式サイトで確認
