会社名,フォームURL,判定,理由,検出語
ふなばし演劇鑑賞会,https://funaen.com/performances/,問い合わせ窓口,,
福山市民劇場,https://fukuyama-shimingekijyo.jimdofree.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,問い合わせ窓口,,
高崎演劇鑑賞会,https://takasaki-enkan.jimdofree.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,問い合わせ窓口,,
一般財団法人牧阿佐美バレヱ団,https://www.ambt.jp/kurumi-audition2026-form/,送らない,購入・注文フォーム,購入・注文フォーム:決済
公益社団法人観世九皐会,https://kanze.net/publics/index/33/,問い合わせ窓口,,
株式会社よみうりランド,https://www.yomiuriland.com/information/,問い合わせ窓口,,
株式会社サンシャインシティ,https://sunshinecity.jp/information/access_train.html,問い合わせ窓口,,
株式会社シーパラダイス,https://www.seaparadise.co.jp/contact/,問い合わせ窓口,,
株式会社日本モンキーパーク,https://www.japan-monkeypark.jp/inquiry/,問い合わせ窓口,,
株式会社海遊館,https://www.kaiyukan.com/info/faq/,問い合わせ窓口,,
浅草演芸ホール,https://www.asakusaengei.com/contact/,問い合わせ窓口,,
大分B-リングス,https://oitabrings.jp/contact/,問い合わせ窓口,,
姫路イーグレッターズ,https://egreters.com/contact,問い合わせ窓口,,
愛媛マンダリンパイレーツ,https://www.m-pirates.jp/contact,問い合わせ窓口,,
石川ミリオンスターズ,https://www.m-stars.jp/info/,問い合わせ窓口,,
福島レッドホープス,https://red-hopes.com/contact/sponsor,問い合わせ窓口,,
美唄ブラックダイヤモンズ,https://bibai-blackdiamonds.com/contact/,問い合わせ窓口,,
